Company,Chief Executive,CEO Position,Business Enquiry,Business Contact Person,Year of Incorporation,Office Address,PostCode,City/Town,State,Country,Telephone,Fax,Email,Website,Raw Materials Used,Production Process,Products Manufactured,Miscellaneous data 1,Miscellaneous data 2,Miscellaneous data 3,,
"
Ganda Maju Industries (M) Sdn Bhd(499147-U)",Yeong Toh Wai,Managing Director,Yeong Toh Wai,Managing Director,30100,Ipoh,Perak,Malaysia,605-528 6255,605-527 6255,"
sytan@gandamaju.com,andy@gandamaju.com
,","
www.gandamaju.com.my,","Injection Moulding 
",,,,,,,,,
"
Gasing Potensi Plastic Industries Sdn Bhd(1121034-V)",Allan Kow Kek Choy,Chief Executive Officer,Loh Kah Hock,General Manager,31400,Ipoh,Perak,Malaysia,605-5484 139,605-5486 139,"
gasingplastics@hotmail.com
,","PE
",None,,,,,,,,,
"
GB Plas Sdn Bhd(638291 V)",Gooi Chin Hooi,Managing Director,Gooi Chin Hooi,Managing Director,14300,Pulau Pinang,Malaysia,604-594 2333,604-593 8718,"
sales@gbplas.com
,","
www.gbplas.com,","GB BOND
","PC Extruded Sheet, PMMA Extruder Sheets, GPPS Extruded Sheets, HIPS Extruded Sheets, ABS Extruded Sheets, AS Extruded Sheets, HDPE and PP Extruded Sheets, Specialise in Design and Produce Thermoforming/Vacuum Forming Mould for Custom Make Product for Advertising Industrial or Automotive Design, Specialise in Thermoforming Process, Vacuum Forming Product, Press/Blow Thermoforming Product, Agricultural,Bathroom/Toilet,Electrical and Electronics,Footwear,Furniture, Industrial and Construction, OEM Manufacturing, Packaging",,,,,,,,,
"
GC Plastic Industry Sdn Bhd(883716-X)",Lor Lean Sen,Managing Director,Lor Kin Mun,Manager,9000,Kulim,Kedah,Malaysia,604-4891 818,604-4892 828,"
gcplastic@outlook.com
,","PP, HDPE, ABS, PS
","China
",,,,,,,,,
"
General Aluminium Works (M) Sdn Bhd(11667-K)",Cheah Wan Cheun,General Manager,Kok Tai Yueen,Marketing Manager,34000,Perak,Malaysia,605-891 2377,605-891 1161,"
admin@gaw.com.my,admin_exec@gaw.com.my
,","
www.wtk.com.my,","ISO 9001 : 2008
","Packaging Items, Cigarette Containers, Cable Foil, Electro-Static Discharge Film
,Containers and Bottles",,,,,,,,,
"
George Fischer (M) Sdn Bhd(534801-X)",Goh Thian Aun,Managing Director,Justin Wong,"Head Of Sales, Malaysia",41200,Klang,Selangor,Malaysia,603-3122 5587,603-3122 5575,"
my.ps@georgfischer.com,wong.justin@georgfischer.c,","
www.georgfischer.com,","ABS, PE, PP, PVC-U/PVC, PVC-C/CPVC, PVDF, PRR
",,,,,,,,,
"
Ge-Shen Plastic (M) Sdn Bhd(372089-V)",Melvin Wong Yee Keh,Managing Director,Melvin Wong Yee Keh,Managing Director,81200,Johor,Malaysia,607-335 5196/7788,607-335 7799,"
info@gscorp.com.my
,","
www.ge-shen.com,","ISO 14001 : 2000, ISO 14001 EMS, ISO/TS 16949
","All Kinds of Plastics Moulded Products and Components, Plastic Mould, Tool, Die, P.U. Spray Painting, Spray Printing, Sub-assembly Process & Complete Assembly for Electrical and Electronic Industry
,Electrical and Electronics, OEM Manufacturing, Telecommunication",,,,,,,,,
"
G-FRP Industries Sdn Bhd(525635-V)",Wong Soo Shen (Sam Wong),Managing Director,Loo Chin Boon,Operations Director,48020,Selangor,Malaysia,603-6034 1525,603-6034 2535,"
sales@g-frp.com.my
,","
www.g-frp.com.my,","G-FRP, G-CISTERN
","Hand-Lay Method, Filament Winding
",,,,,,,,,
"
Global Farmer Solutions Sdn Bhd(1257481-X)",Kuan Mun Ming,Director,Kuan Chee Keat,Director,31500,Perak,Malaysia,605-3217 177,605-3217 177,"
globalfarmersolutions@gmail.com,cheekent7018@hotmail.com
,","
www.globalfarmer.com.my,","PE, PP, PVC, HM
",None,,,,,,,,,
"
Glowmore Express Sdn Bhd(599448-M)",Lim Kiang Kok,Managing Director,Lim Kiang Kok,Managing Director,42000,Port Klang,Selangor,Malaysia,603-3176 0001,603-3176 0002,"
kklim@jprivilege.com
,","
www.glowmoreexpress.com,","Pet Bottle Flakes, Pet Recycled Chip
, Recycling",,,,,,,,,
"
Gold Bell Industries Sdn Bhd(99861-X)",Tan Kark Bin,Director,Lee Hui Sim/Ng Sue Yee,Sales Executive,42000,Selangor,Malaysia,603-3168 6892,603-3167 1678/3168 0076,"
goldbellsb@gmail.com
,","
www.goldbell.com.my,","PE, PP, HDPE, LDPE, LLDPE
",None,,,,,,,,,
"
Gold Mine Polymer Enterprise(1229946-D)",Max Koh Soon Sheng,Director,Sam Koh Ye Shen,Marketing,81100,Johor,Malaysia,6016-723 8041,607-861 8987,"
gmine33@yahoo.com,mkt@goldminepolymer.com
,","
www.goldminepolymer.com,","HDPE, PP, PS, ABS, LDPE
",None,,,,,,,,,
"
Golden Balance Green Resources Sdn Bhd(1059796-D)",Chay Jian Xian,Director,2013,"Lot 717, AL 2100, 
Jalan Welfare, 
Kampung Baru Sungai Buloh
",603-6151 0981,603-6140 3002,"
goldenbalance@yahoo.com
,","Extrusion Pelletising (Recycling) , 
","Recycled Raw Materials - LLDPE
","China
",None,None,None,,,,,,,,,
"
Golden Pet Industries Sdn Bhd(7195-W)",Lam Sang,Managing Director,Lam Sang,Managing Director,31200,Perak,Malaysia,605-291 2130/2148/2133,605-291 2171/172,"
info@goldenpet.com.my,katherinel@goldenpet.com.my,","
www.goldenpet.com.my,","MORNING KISS
","Blow Moulding, Injection Moulding, Stretch-Blow Moulding, Injection Blow Moulding , 
",,,,,,,,,
"
Goldolphin (M) Sdn Bhd(530137-U)",Yap Hook Chai,Director,2000,"7, PSS 2, 
Taman Perindustrian Sungai Sedu, 
Banting
",Malaysia,603-3191 3622,603-3191 3630,"
sale@goldolphin.com.my,exportgoldolphin@gmail.com,","
www.goldolphin.com.my,","GOLDOLPHIN
","SIRIM MS759-1:2011
","ABS, EVA, POM, PP, LDPE, TPE
","Hong Kong, Bangladesh, Turkey, South Africa, Sri Lanka, Sudan, Australia
",,,,,,,,,
"
GR Industries Sdn Bhd",Teoh Boon Peng,None,None,None,2006,"7 & 9, Jalan Wawasan 2, 
Sungai Kapar Indah, 
Klang 
",42200,603-3292 8688,606-3292 8988,"
info@grind.com.my
,","
www.grind.com.my,","Recycling
","Recyled Resin - PE
",None,None,None,,,,,,
"
Green Concept Technology Sdn Bhd(871706-P)",Gilbert Tan,Managing Director,Tee May Ley Ling,Operation Manager,None,None,42000,Selangor,Malaysia,"603-3165 0893, 3162 1964",603-3165 0894,"
enquires@greenconcepttech.com
,","
www.greenconcepttech.com,","ISO 9001 : 2015 & ISO 14001: 2015
","Recycled / Repelletized of Plastics Resins - PP Copolymer / Homo (Injection) & HDPE (Blow)
",,,,,,,
"
Greenland Plastics Industries (M) Sdn Bhd(37291-M)",Chia Mui King,Managing Director,Chia Mui King,Managing Director,None,None,81100,Johor,Malaysia,607-355 9088,607-355 9091,"
gpi@greenlandplas.com
,","
www.greenlandplas.com,","GREENLAND, WIRAFLEX, ETAFOAM, SPIRALFLEX
","PVC Hoses, Suction Hoses, Duct Hoses, PVC Conduits, Cable Trunking, HDPE Pipes, Corrugated Flexible Conduits, Insulation Foam Tubes, Spring Reinforced PVC Hose, Spiral PE Band
,Foam, Industrial and Construction",,,,,,,
"
Greif Malaysia Sdn Bhd(3457V)",Kelvin Chai,General Manager,Rachel Cha,Commercial Manager,None,None,46050,Selangor,Malaysia,603-7787 6800,603-7783 4342,"
kokseng.chan@greif.com
,","
www.greif.com,","GREIF
","Blow Moulding , Silkscreen-painting, Silkscreen-painting
",,,,,,,
"
GT-Max Plastic Industries (M) Sdn Bhd(601982-K)",Gan Thiam Kok,Managing Director,Cindy Sin Chee Wan,PA to Director,None,None,41050,Selangor,Malaysia,603-3392 6868/3343 9966,603-3392 6969/3343 6969,"
info@gt-max.com.my
,","
www.gt-max.com.my,","GT-MAX
","Singlet/T-shirt Bag, Garbage Bag, Flatted Bag, Printing Bag, Tubing , Sheet, Stretch Film, Builder Film, Agriculture and Aquaculture Film
,Films and Bags",,,,,,,
"
Guan Hong Plastic Industries Sdn Bhd",Tin Hee Hau,Managing Director,Tin Hee Hau,Managing Director,None,None,13800,Pulau Pinang,Malaysia,604-356 1891,604-356 4988,"
ghplas@gmail.com
,","TWINS DOLPHIN
","PP, SAN, LDPE
",None,,,,,,,
"
Guppy Plastic Industries Sdn Bhd(76939-U)",Ng Kiat Guan,Executive Chairman,Goh Boon King,General Manager,None,None,43200,Selangor,Malaysia,603-9075 3888,603-9075 1688,"
chong@guppyplastic.com.my
,","
www.guppyplastic.com,","GUPPY
","Injection Moulding , Spray-painting, Silkscreen-painting, Pad-printing, Ultrasonic Welding
",,,,,,,
"
GWI Manufacturing Sdn Bhd(280023-X)",Allen Cheng,Managing Director,Francis Lee Peck Chye,General Manager,None,None,81800,Johor,Malaysia,607-861 2832,607-861 7816,"ISO 14001 , ISO 9001
","PET, PS, PVC
","Thermoforming , High Frequency Welding, Silkscreen-painting, Pad-printing
",None,,,,,,,
"
H & P Plastic Sdn Bhd",Wong See Ching,CEO,Wong See Ching,CEO,None,None,Kedah,Malaysia,604-484 1826/1159/5793,604-484 1425,"
hpplast@tm.net.my
,","ISO 9001 : 2000
","ABS, PC, PMMA, POM, PP, PS, SAN, HDPE, LDPE, PC/ABS, PBT
","Injection Moulding , Spray-painting, Tampo Printing, Hot Stamping, Assembly
",None,,,,,,,
"
H.D. Homeware (M) Sdn Bhd(454411-P)",Khor Eng Chye,Partner,Khor Eng Chye,Partner,None,None,30100,Perak,Malaysia,605-527 9441,605-527 0526,"
hon_dar1@streamyx.com,hdhomeware@gmail.com
,","
www.hdhomeware.com.my,","HOMEWARE
","Houseware
, Houseware",,,,,,,
"
Ha Pack Industry Sdn Bhd",Tock Heng Aun,Director,Tock Heng Aun,Director,None,None,13600,Pulau Pinang,Malaysia,604-380 0688,604-380 0686,"
edmondkee@apr-es.com
,","ISO 9001 : 2008
","ABS, PE, PET, PP, PS, PVC
",None,,,,,,,
"
Hai Luck Plastic Trading Co(429004-V)",Eui Thim Hai,Sole Proprietor,Eui Thim Hai,Sole Proprietor,None,None,14000,Pulau Pinang,Malaysia,604-507 6691/017-5009148,604-507 5962,"
hailuckplastic@gmail.com
,","LDPE, HDPE
","Film Blowing/Film Extrusion
",None,,,,,,,
"
HD Plastic Sdn Bhd(217487-W)",KS Habib,Director,Sirajudin KS Habib,Director,None,None,81200,Johor,Malaysia,607-556 1002,607-556 8002,"
enquiry@hdplastic.com.my,ks_habib@yahoo.com,ram@hdplastic.com.my,asda?????
,","
www.hdplastic.com.my,","HDPE, LDPE
","Europe, United States, Ireland, United Kingdom
",,,,,,,
"
Hee Plastic Industries Sdn Bhd(67595-D)",Yap Seng Hee,Director,Yap Mun Chuan,Director,None,None,40000,Selangor,Malaysia,603-5121 3537,603-5121 3791,"
sales@heeplastic.com
,","
www.heeplastic.com,","ISO 9001 : 2008, HACCP 1480 : 2007
","Precision Injection Parts, Industrial Products, Bottles, Flask, Caps, Cups, Plates, Bowls, Hangers, Clips, Photo Frames, Mirror Frames, Ice-cream Containers, Cookies Containers, Milk Powder Containers. Laundry Basket, Disposal Plastic Wares, Cutlery
,Containers and Bottles,Cutlery, Houseware, OEM Manufacturing",,,,,,,
"
Helistrom Sdn Bhd",Kelvin Low Chee Kuong,Managing Director,Chua Kok Ann,Manager,None,None,81400,Johor,Malaysia,607-59999 069,607-5999 095,"
kachua@helistrom.com
,","
www.helistrom.com/v1,","HELILAC, HELIREX, HELIFIL, HELISTROM
","Compounds
,Electrical and Electronics, Houseware, OEM Manufacturing, Telecommunication, Transportation",,,,,,,
"
Heng Hiap Industries Sdn Bhd",Seah Kian Hoe,Managing Director,Seah Kian Hoe,Managing Director,None,None,81700,Johor,Malaysia,607-256 2886,607-256 2885,"
kcseah@pc.jaing.my,khseah@henghiap.com.my
,","
www.HengHiap.com,","ABS, PE, PET, PP ,PS
",None,,,,,,,
"
Heveaplast (M) Sdn Bhd(119868-U)",BT Wong,Director,Ms Hoo,Marketing and Admin Executive,None,None,42700,Selangor,Malaysia,603-3149 2713,603-3149 1712,"
hplast@heveaplast.com.my,hoo@heveaplast.com.my
,","
www.heveaplast.com.my,","ISO 9001 : 2015
","ABS Extruded Profiles, PE Extruded Profiles, PP Extruded Profiles, PVC Extruded Profiles, Elastomers, OEM Manufacturing (Extrusion), Weather Strip Far Window, Weather Strip Trunk Lid, Weather Strip Hood, Weather Strip Door, Weather Strip Wind Screen
, Industrial and Construction, OEM Manufacturing, Transportation",,,,,,,
"
Hexagon Plastic Industries Sdn Bhd(381101-U)",Patrick Yap,Eric Ho Yueh Nam,1996,"21, Jalan Utarid U5/15, 
Seksyen U5, 
Shah Alam
",None,None,,,,Malaysia,603-7845 6989,603-7845 7989,"
yapbw@hotmail.com
,","PE, PP, PS, LDPE
","Blow Moulding, Injection Moulding , UV Printing (Silkscreen)
","Bottles - Toiletries - up to 3L , Household , Food and Beverage. Caps - Toiletries, Food and Beverage
,Containers and Bottles",None,None,,,,
"
Hicom-Teck See Manufacturing Malaysia Sdn Bhd(230574-H)",Lim Sheng Sun,Chief Executive Officer,Yau Kian Min,Sr. Manager - Business Development,None,None,40000,Selangor,Malaysia,603-5191 6077,603-5191 6091,"
marketing@hicomtecksee.com.my
,","
www.hicomtecksee.com.my,","HICOM-TECK SEE
","Injection Moulding , Painting, Assembly, Electro Plating
",,,,,,,
"
Highfield Industries (M) Sdn Bhd(741140-T)",Roy Ng,None,None,None,2006,"85, Jalan Idaman 1/3, 
Taman Desa Idaman, 
Senai
",81400,Johor,Malaysia,607-5980 029,607-5980 031,"
admin@highfield.com.my
,","HIGHFIELD
","Indonesia, Thailand, Vietnam
",None,,,,,,,
"
HI-Q Plastic Industries Sdn Bhd",Lee Kok Kien,Director/Operation Manager,Lee Kok Kien,Director/Operation Manager,2008,"2, Jalan Berjaya 8, 
Kawasan Perindustrian Berjaya, 
Kempas, Johor Bahru
",81300,Johor,Malaysia,607-556 9998,607-556 7998,"
hiq@hiqplastic.com,ken@hiqplastic.com
,","
www.hiqplastic.com,","Tray
",,,,,,,,
"
HKC Plastic Industries(JM0212983-H)",Hum Kok Cheng,None,None,None,None,"22, Jalan Emas Jaya 1, 
Tongkong Pecah, 
Batu Pahat
",83010,Johor,Malaysia,607-4153 826,607-4154 826,"HDPE, LDPE
","Film Blowing/Film Extrusion 
",None,None,,,,None,,,
"
HKS Century Sdn Bhd(1252540-T)",Kwa Lay Beng,Director,Mun Kok Kin,Director,2017,"C-1-3 (First Floor), 
Blok C BBT One, 
Lebuh Batu Nilam 2, 
Bandar Bukit Tinggi
",41200,Klang,Selangor,Malaysia,603-3318 7328,"
hks.operation@gmail.com
,","Extrusion Pelletising (Recycling) , 
",None,,,,,,,,
"
HL Packaging & Industry(JM 0369014-W)",Haw See Chin,Manager,Haw See Chin,Manager,2002,"30, Jalan Kempas 2/4, 
Kawasan Perindustrian Tampoi
",81200,Johor Bahru,Johor,Malaysia,607-234 1009,607-234 1019,"
hlpack02@gmail.com
,",None,,,,,,,,
"
Hoe Seng Plastic Industries Sdn Bhd(524948-W)",Teh Hock Eng,Director,Teh Guan Hock,Director,2000,"746, Padang Benggali, 
Teluk Air Tawar, 
Butterworth
",13050,Pulau Pinang,Malaysia,012-489 8400,604-356 7279,"
hoesengplastic@gmail.com,tnttanhc@gmail.com
,","Recycling
",None,,,,,,,,
"
Hond Tat Industries Sdn Bhd(116343-D)",Teoh Kian Hoe,Managing Director,Teoh Khye Jiat,,1984,"3, Jalan Wawasan 2/KU7, Batu 6 Off Jalan Kapar, 
Taman Perindustrian Sungai Kapar Indah, 
Klang
",42200,Selangor,Malaysia,603-3291 2288,603-3291 1221/3291 2044,"
hondtat@streamyx.com
,","
www.hondtat.com,","Courier Bags, Loop Handle Carriers, Patch Handle Carriers (Welded/Glued), Diaper Bags, Diaper Backing Sheet, PE Film for Lamination, T-Shirt Bags, Punched-out Handle Carriers, Drawtape Bags on Roll, Star-Sealed Bags and Roll, Garbage Bags, Bin Liners, Retail Packs, Jerrycan, Polymeric Calcium Carbonate
,Films and Bags","United Kingdom, Europe, South Asia, Australia, Japan
",,,,,,,
"
How Sen Industries Sdn Bhd(241550-K)",Lo One Chong,Director,Jenny Wong,Admin Executive,1992,"27, Jalan Mahir 4, 
Taman Perindustrian Cemerlang, 
Ulu Tiram, Johor Bahru
",81800,Johor,Malaysia,607-861 8052,607-861 8051,"
kfwong2268@howsen.com.my
,","
www.howsen.com.my,",None,,,,,,,,
"
Hsing Lung Sdn Bhd(157460-D)",Ken Chua,CEO,Ken Chua,CEO,1989,"1,Jalan Sri Plentong 6, 
Taman Perindustrian Sri Plentong, 
Masai
",81750,Johor,Malaysia,607-386 2198/4198,607-388 3199,"
contact@hsinglung.com.my
,","
www.hsinglung.com.my,","PVC Compound for Cables, Toys, Shoes, Industrial Pipes, Industrial Profiles, OEM Manufacturing, Packaging Films, Packaging Bottles, PVC Hoses
,Containers and Bottles,Films and Bags,Footwear,Gardening, Industrial and Construction, OEM Manufacturing, Toys, Games, Sports",,,,,,,,
"
Huiye Polymer (M) Sdn Bhd(818557-X)",Yeo Hock Leng,CEO,Eddie Sim/ Grace Yeo,General Manager / Deputy General Manager,2008,"PLO 80, Jalan Cyber 5, 
Kawasan Perindustrian, Senai Fasa III, 
Senai
",81400,Johor,Malaysia,607-599 3399,607-598 6999,"
serene@slpack.com,eddie@huiyepm.com
,","
www.slpack.com;www.dynamiccolours.com,","Compounding, Film Blowing/Film Extrusion , Heavy Duty Bags Cutting
",,,,,,,,
"
Hup Soon Plastic Industrial (M) Sdn Bhd(14909-U)",Chim Weng Yew,Director,Ong Hung Jun,Sales Manager,1962,"PT 38820, Plot 150, 
Hala Perusahaan Menglembu 9, 
Menglembu
",31450,Perak,Malaysia,605-282 2894,605-282 3629,"
hupsoonp@yahoo.com
,","HS, HUP SOON PLASTIC
","PVC Pipes, Hoses, Suction Hoses, HDPE Pipes, LDPE Tubings
, Industrial and Construction",,,,,,,,
"
Hwa Khoon Plastic Industries Sdn Bhd(017612-T)",Allen Chong,None,None,None,1973,"Lot 1402, Jalan Tenaga, 
Pending Industrial Estate, 
P.O.Box 2588, Kuching
",93750,Sarawak,Malaysia,6082-331 191,6082-332 841,"
hwakhoon@gmail.com
,","PIGEDN BRAND
",None,None,,,,,,,
"
Hygiene Plastic Factory Sdn Bhd(12868-V)",Michael Chia Soon Fatt,Managing Director,Ong Ah Choo,General Manager,1972,"Lot 21, Kaw. MIEL Bintawa, 
Jalan Perdana, 
Kuching
",93950,Sarawak,Malaysia,6082-332 384,6082-332 523,"
hygieneplas@myjaring.net
,","
www.hygieneplastic.com.my,",,,,,,,,,
"
Hypak Sdn Bhd(010042-P)",Mr Peter Yeo,Managing Director,Mr Peter Yeo,Managing Director,1970,"Lot 24, 
Jalan Usaha 8, 
Air Keroh Industrial Estate
",75450,Melaka,Malaysia,606-2327822,606-2325086,"
peter@hypaksb.com
,","PP
",,,,,,,,,
"
IBS Plastic Manufacturers Sdn Bhd(257683-K)",Albert Chai Chee Meng,Managing Director,Liaw Fung Lan,Executive Director,1993,"Mile 1, Jalan Ulu Batu Sapi, 
Off Jalan Cecily, 
Sibuga Wdt 345
",90009,Sandakan,Sabah,Malaysia,6089-664 855/735/723/111,6089-664 132,"
ibsplastic2003@yahoo.com
,",,,,,,,,,
"
ICA Plastic Industries Sdn Bhd(40626-P)",Joseph Tan Huang Kew,Managing Director,Joseph Tan Huang Kew,Managing Director,1976,"SD 2567B-1, Batu 2 ½, 
Jalan Jelapang, 
Ipoh
",30200,Perak,Malaysia,"605-526 6993, 526 6886",605-527 2846/528 7797,"
icaplastic@time.net.my,ica_plastic@yahoo.com
,","ISO 9001 : 2008
",,,,,,,,,
"
Indahpack (PK) Sdn Bhd(181774-D)",Leong Chee Keong,Director,Leong Chee Keong,Director,1989,"1, Laluan Kilang, 
Jelapang Industrial Estate, 
Ipoh
",30100,Perak,Malaysia,605-526 2133/3284,605-526 1069,"
indahpack@hotmail.com,indahpack@hotmail.com
,","ISO 9001 : 2008 (Quality Management System)
",,,,,,,,,
"
Industri Nikkoplas Sdn Bhd(169818-D)",CK Wong,Executive Director,Tee BN,Senior Manager,1988,"2B, Jalan Tampoi 2, 
Kawasan Perindustrian Tampoi, 
Johor Bahru
",81200,Johor,Malaysia,"607-236 4026, 237 0021",607-236 6255,"
sales@nikkoplas.com
,","ISO 9001 : 2008, ISO 14001 : 2004
",,,,,,,,,
"
Industrial Quality Management Sdn Bhd(234438-K)",Raja Zakiah Raja Uzair,Executive Director,Azrai Ramli,Manager-Business & Development,1992,"Lot 7, Jalan Bursa 23/4, 
Seksyen 23, 
Shah Alam
",40300,Selangor,Malaysia,603-5542 2697,603-5542 2751,"
iqm@iqmsb.com.my
,","
www.iqmsb.com.my,",,,,,,,,,
"
Innovative Shield Sdn Bhd(716067-D)",John Kok,Managing Director,Francis Tham,General Manager,2005,"2, Jalan Injap 34/4, 
Alpine Industrial Park, 
Seksyen 34
",40470,Shah Alam,Selangor,Malaysia,603-5161 6890,603-5162 6893,"
francis@innovativeshieldsb.com
,",,,,,,,,,
"
Intco (M) Sdn Bhd(1235007-M)",Jin Zhe,Director,David Lee,HR & Admin Executive,2017,"Lot 8988, 
Jalan Tengah, 
Telok Gong
",42000,Pelabuhan Klang,Selangor,Malaysia,012-384 3173,"
lizhiqin@intco.com
,","
www.intco.com,",,,,,,,,,
"
ITW Meritex Sdn Bhd",Chin Sik Ping,Vice-President & Managing Director,Yeoh Khaw Aun,General Manager,,"Bayan Lepas Fiz, 
Phase 3
",11900,Pulau Pinang,Malaysia,604-643 3311,604-643 3587,"
angie@itwmeritex.com.my
,","MERITEX, CAMTEX, CARITECH
",,,,,,,,,
"
J.B. Goodcare Recycle Sdn Bhd(589286-D)",Ch'ng Kim Chai,Director,Wilson Ch'ng,Business Development Manager,1997,"Ptd 76257 & 76258, 
Jalan Seelong, 
Senai
",81400,Johor,Malaysia,607-599 6703/559 2703,607-598 5703,"
winnie@jbgoodcare.com.my,customerservice@jbgoodcare.com.my
,","
www.jbgoodcare.com.my,",,,,,,,,,
"
Jap Packaging Sdn Bhd(208233-P)",Yip Heng Swee,Managing Director,Yip Heng Swee,Managing Director,1982,"10, Jalan Firma 2/2, 
Kawasan Perindustrian TebrauI, 
Johor
",81100,Johor,Malaysia,607-354 8686,607-354 8687,"
hsyip@pd.jaring.asia
,","Thermoforming
",,,,,,,,,
"
Jasinpack Sdn Bhd(501747-T)",Daniel Ng T.P,Managing Director,Daniel Ng T.P,Managing Director,2001,"JB-683, Kawasan Perindustrian Jasin, 
Batu 16, 
Bemban
",77200,Jasin,Melaka,Malaysia,606-529 3633,606-529 5633,"
akjasinpack@jpack.com.my,jasinpack@jpack.com.my
,",,,,,,,,,
"
JAW Industries Sdn Bhd(883387-H)",Brian Lee Chang Soo,Operation Director,Ivy Lee Siew Chee,Marketing Manager,2009,"18, Jalan Korporat 18/KU9, 
Kawasan Perindustrian Meru, 
Klang
",42200,Selangor,Malaysia,603-3884 2266,603-3885 7136,"
sales@jawind.com.my
,","
www.jawind.com.my,",,,,,,,,,
"
JB Chei Sdn Bhd(184003-H)",Tan Sock Huang,Director,Tan Yeow Kwang,Director,1989,"29, Jalan Bukit 7, 
Kawasan Miel Seri Alam, 
Masai
",81750,Johor,Malaysia,607-386 5695/5696,607-386 5697,"
jbchei@gmail.com
,","JBC
",,,,,,,,,
"
Jebplus Sdn Bhd(532001-W)",Chiew Teng Hin,Senior General Manager,Cecilia Chan,Business Development Assistant Manager,2001,"Lot 1569, Jalan Kusta, 
Kawasan Perindustrian Kg Jaya, 
Sungai Buloh
",47000,Selangor,Malaysia,603-6157 8282,603-6157 7323,"
jebplus@jebco.com.my
,","
www.jebplus.com.my,",,,,,,,,,
"
Jebsen & Jessen Packaging Sdn Bhd",Edmund Yeoh,General Manager,1989,"Lot 3297, Jalan Permata 2/1, 
Arab Malaysian Industrial Estate, 
Nilai
",71800,Negeri Sembilan,Malaysia,606-799 2271,606-799 2278,"
edmund_yeoh@jjsea.com
,","EXPANDED POLYSTYRENE FOAM
","ISO 9001 : 2008, ISO 14001, OHSAS 18001
","EPS, EPP, EPE
",,,,,,,,,
"
Jia Giap Industries Sdn Bhd",Ng Boon Hock,Managing Director,Oon Lee Chin,Sales Execuive,,"Lot 5507, Batu 3, Jalan Jeniang, 
Zon Perindustrian Gurun
",8300,Kedah,Malaysia,"604-468 1388, 468 1688",604-468 1288,"
jiagiap@pd.jaring.my,sales.jiagiap@hotmail.com
,","GURUN PLASTIC
",,,,,,,,,
"
Jiesin Plastics Industry Sdn Bhd(185369-D)",Sia Kim Teck,Chairman,Sia Chai Wat,Managing Director,1989,"Plot 35, Jalan Firma 2/2, 
Kawasan Perindustrian Tebrau 1, 
Johor Bahru
",81100,Johor,Malaysia,607-355 2229/2230,607-354 2361,"
jiesin@tm.net.my,jiesinplastics@gmail.com,leekc.ryan@gamil.com
,","
www.jiesinplastics.com,",,,,,,,,,
"
Jih Her Plastic Trading(IP0402008-V)",Max Lee Chee Kei,CEO,,,2013,"Plot 5794, Jalan Johan 1/3, 
Kawasan Perindustrian Pengkalan 2, 
Pusing
",31550,Perak,Malaysia,605-365 7377,605-365 7377,"
cktesmithz@gmail.com,onlydeal2u@yahoo.com
,","Recycling
",None,,,,,,,,
"
Jitsin Pack Sdn Bhd(115444-X)",Simon Wong,Managing Director,Kean Wong,Marketing Director,1985,"45, Jalan Foo Wah Cheng, 
(Hala Perusahaan Menglembu 1), 
Off Menglembu Road, Falim, Ipoh
",30200,Perak,Malaysia,605-282 1229/7349/8808,605-282 2810/9036,"
kean@jitsin-pack.com,simon@jitsin-pack.com
,","
www.jitsin-pack-com/home.html,",,,,,,,,,
"
Juason Plastics Sdn Bhd(248146-D)",Lim Bak Chuan,Managing Director,Ang Tee Keat,General Manager,1992,"Plot 927 & 928, Lorong Makmur 13/1, 
Kawasan Perusahaan Taman Makmur, 
Mukim Sg Seluang, Lunas
",9600,Kedah,Malaysia,604-484 8084,604-484 7180,"
juason1@tm.net.my
,","Military Star 105E (Level 2)
",,,,,,,,,
"
Jujutsu Industries Sdn Bhd(182638-H)",Jen I Huang,Managing Director,Jen I Huang,Managing Director,1989,"Lot 83, Jalan Permata 2/3, 
Arab Malaysian Industrial Park, 
Nilai
",71800,Negeri Sembilan,Malaysia,606-799 2155,606-799 2150,"
jujutsu.my@gmail.com,biz@jujutsu-group.com
,","
www.jujutsu-group.com,",,,,,,,,,
"
Juken Technology Engineering Sdn Bhd(609302-H)",William Wong LH,CEO,Ann Lim,Finance & Hr Manager,2004,"Lot 10, 11 & 12, Jalan BRP 9/1C, 
Bukit Rahman Putra Industrial Park, 
Sungai Buloh
",47000,Selangor,Malaysia,603-6156 2386,603-6156 7389,"
annlim@jukentech.com
,","
www.jukentech.com,",,,,,,,,,
"
K.H. Plastic & Packaging (M) Sdn Bhd(178206 W)",Glen Chua,Managing Director,Glen Chua,Managing Director,1989,"5 & 7, Jalan Perdagangan 16, 
Taman Universiti, 
Skudai
",81300,Johor,Malaysia,607-520 6152,607-520 6103,"
glenchua@khplast.com
,","ISO 9001 : 2008
",,,,,,,,,
"
Kahee Manufacturing Sdn Bhd",Goh Ching Hiong (Ms),CEO,Goh Ching Hiong (Ms),CEO (019-778 9668),1993,"25, Jalan Waja 4, 
Taman Pandan, 
Johor Bahru
",81100,Johor,Malaysia,607-3541036,607-3543266,"
enquiry@kaheemfg.com,sales.kahee@gmail.com
,","
www.kaheemfg.com,",,,,,,,,,
